"product_id";"product_title";"product_sku";"product_category";"product_brand";"forecast_stock_qty";"forecast_total_units_sold";"forecast_sales_month";"forecast_sales_day";"forecast_sales_day_lifetime";"forecast_oos_date";"forecast_reorder_date";"forecast_margin_percent";"forecast_frozen_capital";"forecast_po_priority_score";"forecast_lead_time_days";"forecast_minimum_order_qty";"forecast_sales_window_days";"forecast_cost_override";"forecast_tier_threshold_1";"forecast_tier_threshold_2";"forecast_tier_threshold_3";"forecast_product_class";"forecast_enable_reorder";"forecast_do_not_reorder";"forecast_is_must_stock";"forecast_force_reorder";"forecast_flag_for_review";"forecast_mark_for_clearance";"forecast_mark_for_removal";"forecast_reorder_note";"forecast_is_not_moving";"forecast_is_stale_inventory";"forecast_is_out_of_stock";"forecast_is_new_product";"forecast_sales_status";"forecast_first_sold_date";"forecast_last_sold_date";"forecast_first_purchased";"forecast_last_purchased";"aip_forecast_summary";"updated_at"
"14640";"BIRTHDAY CAKE 1G Original THC Pod";"135884272";"POD";NULL;"4";"29";"6";NULL;NULL;"2026-04-13 00:00:00";"2026-04-13 00:00:00";"50.0000";"66.0000";NULL;"3";"2";"90";NULL;NULL;NULL;NULL;"regular";"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-11-01 00:00:00";"2025-12-02 00:00:00";"2024-12-12 00:00:00";"2025-10-16 00:00:00";NULL;"2026-01-12 01:16:10"
"14641";"STIIIZY - PREMIUM THC POD - 1G MAGIC MELON";"164288232";"POD";NULL;"6";"9";"2";NULL;NULL;"2026-01-09 00:00:00";"2026-01-09 00:00:00";"50.0000";"99.0000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-28 00:00:00";"2025-11-26 00:00:00";"2024-12-12 00:00:00";"2025-10-16 00:00:00";NULL;"2026-01-12 01:15:02"
"14646";"STIIIZY - PREMIUM THC POD 1G GELATO";"135884522";"POD";NULL;"4";"22";"4";NULL;NULL;"2026-03-31 00:00:00";"2026-03-31 00:00:00";"50.0000";"66.0000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-25 00:00:00";"2025-11-30 00:00:00";"2024-12-12 00:00:00";"2025-11-09 00:00:00";NULL;"2026-01-12 01:15:08"
"14660";"STIIIZY Mini Blunts: 2.5G King Louis XIII";"135884507";"INFUSED PREROLL";NULL;"2";"13";"2";NULL;NULL;"2026-04-09 00:00:00";"2026-04-09 00:00:00";"57.3300";"38.4000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"regular";"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-10 00:00:00";"2025-12-02 00:00:00";"2025-01-14 00:00:00";"2025-09-05 00:00:00";NULL;"2026-01-12 01:13:34"
"14665";"STIIIZY - 40'S MINI JOINTS MULTI-PACK - SKYWALKER OG";"135884472";"INFUSED PREROLL";NULL;"9";"11";"2";NULL;NULL;"2026-03-11 00:00:00";"2026-03-11 00:00:00";"58.9600";"148.5000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-27 00:00:00";"2025-12-01 00:00:00";"2024-12-12 00:00:00";"2025-11-26 00:00:00";NULL;"2026-01-12 01:16:03"
"14666";"STIIIZY - 40'S MINI JOINTS MULTI-PACK - 2.5G OG KUSH";"135884484";"INFUSED PREROLL";NULL;"1";"16";"3";NULL;NULL;"2026-02-04 00:00:00";"2026-02-05 00:00:00";"58.9600";"16.5000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"regular";"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-15 00:00:00";"2025-11-25 00:00:00";"2024-12-12 00:00:00";"2025-09-05 00:00:00";NULL;"2026-01-12 01:14:55"
"14671";"STIIIZY - 40'S MINI JOINTS MULTI-PACK - 2.5G PINK ACAI";"139456321";"INFUSED PREROLL";NULL;"10";"15";"3";NULL;NULL;"2026-02-22 00:00:00";"2026-02-22 00:00:00";"58.9600";"165.0000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-10-26 00:00:00";"2025-11-21 00:00:00";"2024-12-12 00:00:00";"2025-11-26 00:00:00";NULL;"2026-01-12 01:13:41"
"14677";"WATERMELON Z - .5G 40's Infused Mini Blunt 5 Pack";"135884468";"INFUSED PREROLL";NULL;"3";"7";"1";NULL;NULL;"2026-02-23 00:00:00";"2026-02-23 00:00:00";"57.3300";"57.6000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t3";"2024-10-25 00:00:00";"2025-11-26 00:00:00";"2025-01-14 00:00:00";"2025-03-06 00:00:00";NULL;"2026-01-12 01:14:42"
"14681";"PINK ACAI - .5G 40's Infused Blunt 5 Pack";"135884480";"INFUSED PREROLL";NULL;"9";"1";"0";NULL;NULL;"2026-02-03 00:00:00";"2026-02-03 00:00:00";"57.3300";"172.8000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-11-12 00:00:00";"2025-09-26 00:00:00";"2025-01-14 00:00:00";"2025-09-05 00:00:00";NULL;"2026-01-12 01:16:29"
"14692";"STIIIZY Mini Blunts: The Best Exclusive Strawberry Cough";"135884508";"INFUSED PREROLL";NULL;"8";"2";"0";NULL;NULL;"2026-01-09 00:00:00";"2026-01-09 00:00:00";"57.3300";"153.6000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-11-12 00:00:00";"2025-11-22 00:00:00";"2025-01-14 00:00:00";"2025-09-05 00:00:00";NULL;"2026-01-11 09:26:35"
"14697";"Kiwi Melon | Sativa - Lights On THCV Energy Elixir";"156105138";"ELIXIR";NULL;"18";"2";"1";NULL;NULL;"2026-04-16 00:00:00";"2026-04-16 00:00:00";"50.0000";"216.0000";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"1";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"not_moving_t2";"2024-11-07 00:00:00";"2025-08-23 00:00:00";"2025-01-14 00:00:00";"2025-07-01 00:00:00";NULL;"2026-01-12 01:14:49"
